codmunicipio;indativo;codunidade;nomunidade;codsetor;nomsetor;codproduto;sglunidadeproduto;nomproduto;codoperador;codgrupo;desgrupo;codsubgrupo;dessubgrupo;qde
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;4688;COMP      ;ALOPURINOL 300MG COMP;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;923
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;1461;COMP      ;AMIODARONA 200MG COMP;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;310
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;6581;FR        ;BECLOMETASONA 200MCG SPRAY;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;22
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;4531;FR        ;BECLOMETASONA 250MCG SPRAY;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;1
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;9100;FR        ;BECLOMETASONA 50MCG SPRAY;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;6
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;9331;FR        ;BUDESONIDA 32MCG SUSP AQ NASAL;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;11
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;98423;FR        ;BUDESONIDA 50MCG SUSP AQ NASAL;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;7
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;98424;FR        ;BUDESONIDA 64MCG SUSP AQ NASAL;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;26
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;98344;COMP      ;CARBONATO CALCIO + COLECALCIFEROL 600MG + 400UI COMP;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;525
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;98961;COMP      ;CARBONATO DE CALCIO + COLECAL. 500MG + 400UI COMP;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;640
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;98307;FR        ;CETOCONAZOL 2% SHAMPOO;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;18
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;98730;AMP       ;CIANOCOBALAMINA 500 MCG/ML SOL INJ;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;26
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;98338;FR        ;CLORETO DE SODIO 0.9 % SOL. NASAL;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;51
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;1418;FR        ;CLOREXIDINA 0.12% SOL BUCAL;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;12
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;9328;COMPREVS  ;CLORIDRATO DE PROPAFENONA 300MG;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;450
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;1494;TUBO      ;DEXAMETASONA 1MG\G CREME;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;51
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;98813;FR        ;DEXAMETASONA 1MG/ML SUSP OFT;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;33
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;1615;COMP      ;DEXAMETASONA 4MG COMP;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;207
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;98709;AMP       ;DEXAMETASONA 4MG/ML SOL INJ;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;262
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;2829;FR        ;DEXCLORFENIRAMINA 0.4MG/ML SOL ORAL;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;9
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;8596;COMP      ;DEXCLORFENIRAMINA 2MG COMP;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;1505
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;98462;FR        ;DIAZEPAM 5 MG/ML SOLUÇÃO INJETÁVEL;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;100
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;3034;COMP      ;DIGOXINA 0.25MG COMP;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;1685
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;98707;FR        ;DIPIRONA SODICA 500MG/ML SOL INJ;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;151
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;9139;COMP      ;DOXAZOSINA 2MG COMP;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;570
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;97725;COMP      ;DOXAZOSINA 4MG COMP;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;1140
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;9107;COMP      ;ENALAPRIL 5MG COMP;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;1960
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;98316;FR        ;ESTRIOL 1MG/G CREM VAGI;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;6
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;98501;COMP      ;FINASTERIDA 5MG COMP;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;1020
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;4533;CAPS      ;FLUCONAZOL 150 MG CAPS;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;88
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;3759;COMP      ;GLIBENCLAMIDA 5MG COMP;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;970
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;98326;COMP      ;GLICLAZIDA 60MG COMP;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;1290
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;98728;FR        ;GUACO 35MG/ML XAROPE;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;12
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;5197;FR        ;HIDROXIDO DE ALUMINIO 61.5 MG/ML SUSP;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;8
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;8643;COMP      ;IBUPROFENO 600MG COMP;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;1905
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;4515;FR        ;IPRATROPIO 0.25MG/ML SOL PARA INALACAO;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;17
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;9096;COMP      ;ISOSSORBIDA 20MG COMP;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;3000
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;9091;COMP      ;ISOSSORBIDA 40MG COMP;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;980
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;98341;CAPS      ;ITRACONAZOL 100MG CAPS;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;114
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;6087;COMP      ;IVERMECTINA 6MG COMP;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;179
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;98426;FR        ;LACTULOSE 667MG/ML SOL ORAL;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;12
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;9122;COMP      ;LEVODOPA + BENSERAZIDA 100MG + 25MG COMP;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;690
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;98317;DRAG      ;LEVONORGESTREL + ETINILESTRADIOL 0.15MG + 0.03MG DRAGEA;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;399
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;9394;COMP      ;LEVOTIROXINA 100MCG COMP;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;300
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;5198;COMP      ;LORATADINA 10MG COMP;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;3726
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;8453;FR        ;LORATADINA 1MG/ML XAROPE;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;13
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;6583;AMP       ;MEDROXIPROGESTERONA 150MG/ML SUSP INJ;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;25
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;9477;COMP      ;METILDOPA 250MG COMP;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;2930
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;2716;COMP      ;METOCLOPRAMIDA 10MG COMP;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;445
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;9093;FR        ;METOCLOPRAMIDA 4MG/ML SOL ORAL;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;13
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;98714;AMP       ;METOCLOPRAMIDA 5MG/ML SOL INJ;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;7
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;98313;TUBO      ;MICONAZOL  20MG/G CREM DERM;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;19
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;97919;BISNAGA   ;MICONAZOL 20MG/G CREM VAGI;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;26
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;8446;FR        ;MICONAZOL 20MG/ML LOCAO;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;16
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;98314;FR        ;NISTATINA 100.000UI/ML SUSP ORAL;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;11
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;4319;COMP      ;NORETISTERONA 0.35MG COMP;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;1575
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;4318;AMP       ;NORETISTERONA + ESTRADIOL 50MG/ML + 5 MG/ML SOL INJ;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;21
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;97717;COMP      ;ONDANSETRONA 4MG COMP;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;620
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;3042;FR        ;PARACETAMOL 200MG/ML SOL ORAL;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;111
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;1480;COMP      ;PARACETAMOL 500MG COMP;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;124
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;98916;COMP      ;PAROXETINA  15 MG COMPRIMIDO REVESTIDO;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;40
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;98358;FR        ;PERMETRINA 10MG/ML LOCAO;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;35
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;9094;FR        ;PERMETRINA 50MG/ML LOCAO;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;23
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;9090;FR        ;PREDNISOLONA 1MG/ML SUSP ORAL;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;34
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;98328;FR        ;PREDNISOLONA 3MG/ML SUSP ORAL;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;27
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;1373;COMP      ;PREDNISONA 20MG COMP;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;214
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;98427;COMP      ;PREDNISONA 5MG COMP;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;692
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;1486;COMP      ;PROMETAZINA 25MG COMP;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;885
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;98345;FR        ;PROMETAZINA 25MG/ML SOL INJ;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;48
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;97778;COMP      ;RIFAMPICINA + CLOFAZIMINA + DAPSONA  (300+300)+50+100 MG;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;120
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;4320;PCT       ;SAIS PARA REIDRATACAO ORAL;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;51
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;98339;FR        ;SULFATO FERROSO 125MG/ML SOL ORAL;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;37
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;1488;COMP      ;SULFATO FERROSO 40MG COMP;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;2195
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;9448;COMPREVS  ;TIAMINA 300MG COMP;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;1320
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;8638;FR        ;TIMOLOL 5MG/ML SOL OFT;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;22
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;4702;COMP      ;VARFARINA 5MG COMP;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;3540
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;98812;COMP      ;VERAPAMIL 120MG COMP;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;200
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;98928;FR        ;ZINCO 4MG/ML SOL ORAL;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;36
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;9132;COMP      ;AMITRIPTILINA 75 MG COMP;685;1;MEDICAMENTOS BÁSICOS;1;CONTROLADOS PORTARIA 344;180
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;1459;COMP      ;BIPERIDENO 2MG COMP;685;1;MEDICAMENTOS BÁSICOS;1;CONTROLADOS PORTARIA 344;770
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;1496;COMP      ;CARBAMAZEPINA 200MG COMP;685;1;MEDICAMENTOS BÁSICOS;1;CONTROLADOS PORTARIA 344;840
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;2827;FR        ;CARBAMAZEPINA 20MG/ML SUSP ORAL;685;1;MEDICAMENTOS BÁSICOS;1;CONTROLADOS PORTARIA 344;26
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;9134;COMP      ;CARBAMAZEPINA 400MG COMP;685;1;MEDICAMENTOS BÁSICOS;1;CONTROLADOS PORTARIA 344;1090
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;4678;COMP      ;CARBONATO DE LITIO 300MG COMP;685;1;MEDICAMENTOS BÁSICOS;1;CONTROLADOS PORTARIA 344;1460
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;98308;COMP      ;CLOMIPRAMINA 10MG COMP;685;1;MEDICAMENTOS BÁSICOS;1;CONTROLADOS PORTARIA 344;1120
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;8631;DRAG      ;CLOMIPRAMINA 25MG COMPRIMIDO;685;1;MEDICAMENTOS BÁSICOS;1;CONTROLADOS PORTARIA 344;1180
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;4708;FR        ;CLONAZEPAM 2.5MG/ML SOL ORAL;685;1;MEDICAMENTOS BÁSICOS;1;CONTROLADOS PORTARIA 344;159
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;1497;COMP      ;CLORPROMAZINA 100MG COMP;685;1;MEDICAMENTOS BÁSICOS;1;CONTROLADOS PORTARIA 344;295
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;3757;COMP      ;CLORPROMAZINA 25MG COMP;685;1;MEDICAMENTOS BÁSICOS;1;CONTROLADOS PORTARIA 344;910
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;9194;FR        ;CLORPROMAZINA 40MG/ML SOL ORAL;685;1;MEDICAMENTOS BÁSICOS;1;CONTROLADOS PORTARIA 344;4
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;98311;COMP      ;DIAZEPAM 10MG COMP;685;1;MEDICAMENTOS BÁSICOS;1;CONTROLADOS PORTARIA 344;1530
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;9446;COMP      ;DIAZEPAM 5MG COMP;685;1;MEDICAMENTOS BÁSICOS;1;CONTROLADOS PORTARIA 344;1980
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;98318;COMP      ;FENITOINA 100MG COMP;685;1;MEDICAMENTOS BÁSICOS;1;CONTROLADOS PORTARIA 344;1740
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;98319;FR        ;FENOBARBITAL 40MG/ML SOL ORAL;685;1;MEDICAMENTOS BÁSICOS;1;CONTROLADOS PORTARIA 344;80
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;4694;CAPS      ;FLUOXETINA 20MG CAPS;685;1;MEDICAMENTOS BÁSICOS;1;CONTROLADOS PORTARIA 344;2310
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;1504;COMP      ;HALOPERIDOL 1MG COMP;685;1;MEDICAMENTOS BÁSICOS;1;CONTROLADOS PORTARIA 344;1760
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;8711;FR        ;HALOPERIDOL 2MG/ML SOL ORAL;685;1;MEDICAMENTOS BÁSICOS;1;CONTROLADOS PORTARIA 344;7
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;8628;COMP      ;HALOPERIDOL 5MG COMP;685;1;MEDICAMENTOS BÁSICOS;1;CONTROLADOS PORTARIA 344;2625
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;97921;AMP       ;HALOPERIDOL 5MG/ML SOL INJ ;685;1;MEDICAMENTOS BÁSICOS;1;CONTROLADOS PORTARIA 344;17
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;9117;AMP       ;HALOPERIDOL DECANOATO 50MG/ML SOL INJ;685;1;MEDICAMENTOS BÁSICOS;1;CONTROLADOS PORTARIA 344;29
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;9120;CAPS      ;NORTRIPTILINA 10MG CAPS;685;1;MEDICAMENTOS BÁSICOS;1;CONTROLADOS PORTARIA 344;660
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;8641;CAPS      ;NORTRIPTILINA 25MG CAPS;685;1;MEDICAMENTOS BÁSICOS;1;CONTROLADOS PORTARIA 344;2150
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;9115;CAPS      ;NORTRIPTILINA 50MG CAPS;685;1;MEDICAMENTOS BÁSICOS;1;CONTROLADOS PORTARIA 344;190
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;9113;CAPS      ;VALPROATO DE SODIO 250MG CAPS;685;1;MEDICAMENTOS BÁSICOS;1;CONTROLADOS PORTARIA 344;2050
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;9114;CAPS      ;VALPROATO DE SODIO 500MG COMP;685;1;MEDICAMENTOS BÁSICOS;1;CONTROLADOS PORTARIA 344;850
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;8627;FR        ;VALPROATO DE SÓDIO 50MG/ML SUSP ORAL;685;1;MEDICAMENTOS BÁSICOS;1;CONTROLADOS PORTARIA 344;24
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;1457;FR        ;AMOXICILINA 250MG/5ML PO PARA SUSP ORAL;685;1;MEDICAMENTOS BÁSICOS;2;ANTIBIOTICOS;20
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;3030;CAPS      ;AMOXICILINA 500MG CAPS;685;1;MEDICAMENTOS BÁSICOS;2;ANTIBIOTICOS;7
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;4535;COMP      ;AZITROMICINA 500MG COMP;685;1;MEDICAMENTOS BÁSICOS;2;ANTIBIOTICOS;179
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;2834;AMP       ;BENZILPENICILINA BENZATINA 1.200.000UI  SUSP INJ;685;1;MEDICAMENTOS BÁSICOS;2;ANTIBIOTICOS;95
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;2835;AMP       ;BENZILPENICILINA BENZATINA 600.000 UI SUSP INJ;685;1;MEDICAMENTOS BÁSICOS;2;ANTIBIOTICOS;50
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;98500;FR        ;BENZOILMETRONIDAZOL 40MG/ML SUSP ORAL;685;1;MEDICAMENTOS BÁSICOS;2;ANTIBIOTICOS;8
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;1462;COMP      ;CEFALEXINA 500MG COMP;685;1;MEDICAMENTOS BÁSICOS;2;ANTIBIOTICOS;2055
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;98918;FR        ;CEFALEXINA  50MG/ML PO PARA SUSP ORAL;685;1;MEDICAMENTOS BÁSICOS;2;ANTIBIOTICOS;15
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;98306;FR        ;CEFTRIAXONA 1G SOL INJ ;685;1;MEDICAMENTOS BÁSICOS;2;ANTIBIOTICOS;110
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;98739;FR        ;CEFTRIAXONA 500MG;685;1;MEDICAMENTOS BÁSICOS;2;ANTIBIOTICOS;49
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;8657;COMP      ;CIPROFLOXACINO 500MG COMP;685;1;MEDICAMENTOS BÁSICOS;2;ANTIBIOTICOS;144
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;5084;COMP      ;CLARITROMICINA 500MG COMP;685;1;MEDICAMENTOS BÁSICOS;2;ANTIBIOTICOS;420
